user_x,user_y,relation
20,444,0.75
20,182,0.86
20,52,0.73
20,77,0.87
20,624,0.63
20,607,0.27
20,115,0.84
20,597,0.29
20,496,0.9
20,404,0.85
21,21,1.0
21,554,0.94
21,769,0.42
21,477,0.03
21,632,0.16
21,284,0.69
21,764,0.84
21,334,0.64
21,999,0.96
21,249,0.69
21,278,0.6
21,469,0.52
22,22,1.0
22,243,0.76
22,409,0.73
22,99,0.43
22,400,0.33
22,109,0.73
22,505,0.1
22,926,0.81
23,23,1.0
23,146,0.34
23,661,0.68
23,473,0.01
23,811,0.62
23,861,0.8
23,418,0.14
23,610,0.85
24,24,1.0
24,390,0.57
24,59,0.39
24,712,0.18
24,335,0.47
24,263,0.01
24,498,0.8
24,542,0.75
24,46,0.05
24,240,0.42
24,545,0.1
24,111,0.95
24,293,0.42
25,25,1.0
25,100,0.6
25,891,0.27
25,731,0.95
26,26,1.0
26,650,0.48
26,643,0.55
26,836,0.84
26,449,0.04
26,123,0.79
26,423,0.42
27,27,1.0
27,351,0.45
27,637,0.62
27,643,0.89
27,873,0.22
27,677,0.24
27,231,0.62
27,265,0.21
27,697,0.62
27,243,0.66
27,449,0.36
27,359,0.11
27,138,0.96
28,28,1.0
28,916,0.09
28,773,0.02
29,29,1.0
29,551,0.83
29,203,0.16
29,468,0.75
29,530,0.48
29,369,0.43
29,212,0.86
29,769,0.8
29,844,0.96
29,814,0.51
29,484,0.87
29,735,0.16
29,987,0.48
29,289,0.66
29,220,0.95
29,256,0.97
29,842,0.64
29,705,0.32
30,30,1.0
30,313,0.13
30,843,0.7
30,454,0.49
30,264,0.67
30,213,0.13
30,813,0.03
30,436,0.06
30,409,0.91
30,285,0.04
30,443,0.45
30,934,0.52
30,459,0.4
30,93,0.34
31,31,1.0
31,597,0.48
31,291,0.39
31,852,0.48
31,327,0.78
31,770,0.23
31,984,0.42
31,389,0.82
31,907,0.03
31,153,0.94
31,688,0.11
31,48,0.25
32,32,1.0
32,654,0.82
32,165,0.06
32,62,0.26
32,108,0.1
32,507,0.54
32,181,0.1
33,33,1.0
33,532,0.48
33,553,1.0
33,739,0.77
33,291,0.81
33,262,0.25
33,223,0.65
33,311,0.38
34,34,1.0
34,341,0.63
34,934,0.1
34,887,0.52
34,518,0.73
34,294,0.06
34,987,0.94
34,643,0.05
34,194,0.88
34,461,0.65
34,612,0.22
34,661,0.24
34,648,0.11
35,35,1.0
35,994,0.98
35,691,0.73
35,391,0.72
35,545,0.09
35,701,0.77
35,905,0.14
35,915,0.17
35,459,0.67
35,329,0.9
36,36,1.0
36,381,0.02
37,37,1.0
38,38,1.0
39,39,1.0
39,769,0.5
39,105,0.8
39,310,0.29
39,337,0.16
39,806,0.18
39,57,0.81
39,952,0.45
39,693,0.02
39,896,0.2
39,840,0.81
39,735,0.63
39,493,0.0
40,40,1.0
40,65,0.06
40,935,0.17
40,364,0.3
40,545,0.37
40,904,0.86
40,570,0.46
40,377,0.37
40,841,0.11
40,527,0.04
40,797,0.24
40,480,0.9
40,172,0.29
40,52,0.33
40,549,0.79
40,529,0.21
40,219,0.27
40,336,0.7
41,41,1.0
41,1000,0.53
41,451,0.58
41,189,0.65
41,980,0.09
41,707,0.48
41,573,0.09
41,979,0.63
41,825,0.77
41,302,0.17
41,445,0.82
41,751,0.92
41,643,0.69
41,957,0.18
41,245,0.97
41,521,0.79
41,648,0.11
42,42,1.0
42,432,0.5
42,831,0.42
42,187,0.9
42,387,0.13
42,177,0.29
42,236,0.92
42,290,0.57
42,114,0.69
42,852,0.17
42,326,0.19
42,44,0.55
42,307,0.4
42,594,0.05
42,677,0.43
42,253,0.48
42,730,0.86
42,852,0.93
43,43,1.0
43,304,0.88
43,397,0.36
43,50,0.31
43,749,0.86
43,141,0.49
43,570,0.89
43,827,0.15
43,440,0.07
43,346,0.42
43,244,1.0
43,328,0.94
43,968,0.7
43,257,0.93
43,414,0.23
43,764,0.45
43,503,0.75
43,306,0.06
43,618,0.38
44,44,1.0
44,403,0.32
44,628,0.79
44,428,0.38
44,608,0.35
44,767,0.3
44,893,0.49
44,783,0.57
44,575,0.77
44,119,0.34
44,265,0.14
44,447,0.12
44,454,0.08
44,802,0.83
44,675,0.85
45,45,1.0
45,196,0.39
45,435,0.48
45,286,0.77
45,679,0.83
45,651,0.79
45,440,0.87
45,974,0.07
45,935,0.65
45,599,0.28
45,526,0.26
45,254,0.18
45,927,0.26
45,531,0.8
45,880,0.7
46,46,1.0
46,423,0.84
46,456,0.45
46,839,0.31
46,622,0.55
46,725,0.02
46,168,0.04
46,493,0.66
46,781,0.48
46,501,0.24
46,245,0.4
46,572,0.62
46,466,0.7
46,263,0.14
47,47,1.0
47,67,0.5
47,618,0.21
47,484,0.2
47,902,0.49
47,370,0.79
47,419,0.09
47,371,0.69
47,341,0.88
47,516,0.63
47,507,0.34
47,302,0.67
48,48,1.0
48,283,0.79
48,818,0.54
48,585,0.4
48,432,0.46
48,336,0.68
48,887,0.45
48,587,0.52
48,859,0.89
48,693,0.83
48,184,0.26
48,559,0.35
48,382,0.32
48,415,0.24
49,49,1.0
49,884,0.09
49,595,0.46
49,459,0.35
49,811,0.0
49,298,0.4
49,178,0.16
49,101,0.93
49,513,0.42
49,971,0.59
49,289,0.57
49,585,0.27
49,708,0.85
49,627,0.83
49,466,0.37
49,259,0.63
49,893,0.17
49,678,0.64
49,959,1.0
49,86,0.18
50,50,1.0
50,625,0.53
50,801,0.41
50,943,0.48
50,918,0.6
50,133,0.31
50,232,0.35
50,337,0.67
50,522,0.77
50,290,0.28
50,829,0.54
51,51,1.0
51,897,0.59
51,713,0.43
51,534,0.47
51,633,0.97
51,688,0.42
51,165,0.28
51,173,0.88
52,52,1.0
52,503,0.15
52,168,0.42
52,153,0.78
52,535,0.38
52,923,0.16
52,340,0.75
52,854,0.12
52,600,0.83
52,775,0.31
52,145,0.05
52,449,0.02
52,385,0.09
52,271,0.29
52,371,0.55
52,357,0.65
52,115,0.31
52,518,0.08
52,184,0.92
52,184,0.12
53,53,1.0
53,366,0.93
53,359,0.34
53,180,0.84
54,54,1.0
54,488,0.77
54,372,0.4
54,801,0.5
55,55,1.0
55,113,0.65
55,601,0.01
56,56,1.0
57,57,1.0
57,886,0.02
57,716,0.96
57,83,0.41
57,738,0.23
58,58,1.0
58,257,0.0
58,417,0.59
58,917,0.89
58,679,0.13
58,804,0.4
58,672,0.82
58,830,0.07
58,903,0.83
58,388,0.01
58,808,0.8
58,695,0.91
58,680,0.38
58,204,0.53
58,438,0.53
59,59,1.0
59,374,0.75
60,60,1.0
60,230,0.91
60,98,0.18
60,528,0.09
60,775,0.42
60,95,0.02
60,567,0.09
60,533,0.46
60,267,0.92
60,804,0.17
60,427,0.28
60,493,0.9
60,338,0.47
61,61,1.0
61,880,0.81
61,548,0.83
61,89,0.4
61,430,0.06
61,74,0.07
61,952,0.76
61,943,0.66
61,696,0.45
61,282,0.1
61,589,0.73
61,913,0.35
61,892,0.74
62,62,1.0
62,341,0.37
62,998,0.17
62,758,0.01
62,991,0.84
62,485,0.98
62,942,0.95
62,809,0.18
62,111,0.69
62,805,0.6
62,600,0.16
63,63,1.0
63,980,0.56
63,652,0.77
63,923,0.8
63,629,0.21
63,509,0.8
63,299,0.81
63,267,0.81
63,832,0.56
63,615,0.76
63,329,0.05
64,64,1.0
64,403,0.58
64,87,0.88
64,223,0.54
64,216,0.51
64,476,0.04
64,983,0.97
64,340,0.36
64,904,0.23
64,130,0.84
64,353,0.61
64,921,0.4
64,791,0.11
64,209,0.09
64,362,0.08
64,922,0.05
64,863,0.36
64,825,0.51
65,65,1.0
65,735,0.78
65,811,0.75
65,774,0.73
65,317,0.15
65,516,0.72
65,243,0.92
65,525,0.69
65,261,0.15
65,901,0.8
65,727,0.76
65,175,0.72
65,447,0.64
65,237,0.01
65,658,0.67
65,455,0.62
65,578,0.93
65,387,0.07
66,66,1.0
66,211,0.42
66,525,0.42
66,224,0.19
66,467,0.75
67,67,1.0
67,569,0.97
67,541,0.12
67,988,0.21
67,161,0.35
67,840,0.98
67,204,0.14
67,192,0.27
67,490,0.19
67,419,0.79
67,524,0.95
67,690,0.27
67,137,0.51
67,853,0.25
67,513,0.21
67,264,0.19
67,492,0.52
67,81,0.47
67,120,0.68
67,205,0.88
67,637,0.18
68,68,1.0
68,564,0.87
68,460,0.73
68,733,0.18
68,263,0.85
68,342,0.89
68,84,0.05
68,104,0.64
68,725,0.51
68,465,0.06
68,934,0.11
69,69,1.0
69,787,0.44
70,70,1.0
70,998,0.27
70,76,0.9
70,903,0.14
70,791,0.27
70,983,0.83
70,391,0.73
70,542,0.41
70,453,0.24
70,71,0.59
70,326,0.52
70,464,0.22
70,806,0.5
70,651,0.47
70,503,0.58
70,311,0.54
71,71,1.0
71,748,0.24
71,609,0.98
71,571,0.07
71,849,0.72
71,581,0.16
71,981,0.31
71,644,0.71
71,940,0.84
72,72,1.0
72,406,0.81
72,238,0.05
72,984,0.35
72,792,0.47
72,545,0.08
72,218,0.62
72,657,0.71
72,902,0.47
72,313,0.62
72,318,0.98
72,613,0.71
72,453,0.43
72,406,0.78
72,712,0.59
72,389,0.16
72,342,0.61
72,672,0.52
72,559,0.66
72,894,0.11
73,73,1.0
73,470,0.64
73,770,0.73
73,797,0.39
73,311,0.41
73,908,0.39
73,320,0.27
73,837,0.94
73,442,0.03
73,123,0.31
73,372,0.07
73,257,0.66
73,377,0.16
73,731,0.83
73,541,0.18
73,814,0.77
73,896,0.24
73,827,0.9
73,130,0.77
73,944,0.49
74,74,1.0
74,502,0.36
75,75,1.0
76,76,1.0
76,662,0.11
76,538,0.31
76,607,0.2
76,390,0.09
76,157,0.99
77,77,1.0
77,254,0.3
77,83,0.32
77,195,0.64
77,369,0.5
77,460,0.75
77,991,0.42
78,78,1.0
79,79,1.0
79,912,0.54
79,863,0.24
79,315,0.47
79,80,0.28
79,864,0.39
79,523,0.33
79,358,0.76
80,80,1.0
80,972,0.03
80,779,0.29
80,552,0.88
80,444,0.54
80,339,0.65
80,165,0.69
80,252,1.0
80,170,0.62
80,542,0.96
80,400,0.82
80,990,0.61
80,366,0.63
80,556,0.23
80,333,0.22
80,897,0.85
80,387,0.73
80,243,0.63
80,156,0.44
80,664,0.01
81,81,1.0
81,982,0.08
81,517,0.84
81,461,0.56
81,496,0.21
81,160,0.92
81,507,0.81
81,143,0.42
81,315,0.12
81,481,0.61
81,670,0.14
81,770,0.98
81,425,0.24
81,272,0.43
81,201,0.7
81,472,0.44
82,82,1.0
82,102,0.2
82,110,0.78
82,581,0.41
83,83,1.0
83,103,0.59
84,84,1.0
84,383,0.04
84,917,0.69
84,721,0.47
84,846,0.58
84,415,0.64
84,748,0.93
84,1000,0.3
84,890,0.01
84,810,0.43
84,490,0.85
84,292,0.64
84,319,0.11
84,743,0.41
84,267,0.13
84,381,0.53
84,575,0.31
84,252,0.67
84,862,0.18
84,953,0.34
85,85,1.0
85,487,0.73
85,346,0.53
85,724,0.32
85,269,0.76
85,315,0.22
85,340,0.72
85,329,0.03
85,309,0.97
85,368,0.43
85,357,0.3
85,813,0.87
85,667,0.95
85,780,0.34
85,996,0.01
85,248,0.62
85,882,0.97
85,886,0.55
85,534,0.18
85,783,0.93
85,156,0.31
86,86,1.0
86,711,0.79
86,953,0.68
86,323,0.11
86,981,0.61
87,87,1.0
87,576,0.87
87,270,0.92
88,88,1.0
88,277,0.11
88,997,0.98
89,89,1.0
89,600,0.51
89,940,0.22
89,811,0.97
89,886,0.7
89,238,0.13
89,515,0.96
89,695,0.67
89,432,0.25
89,961,0.37
89,737,0.01
89,725,0.74
89,291,0.14
89,958,0.43
89,529,0.33
89,720,0.57
90,90,1.0
90,190,0.53
90,121,0.45
90,376,0.24
90,338,0.86
90,744,0.11
90,688,0.18
90,295,0.51
90,916,0.46
90,427,0.88
90,921,0.4
90,389,0.45
90,742,0.63
90,779,0.47
90,879,0.42
90,523,0.74
90,564,0.09
90,682,0.83
90,304,0.57
91,91,1.0
91,435,0.88
91,662,0.07
91,443,0.86
91,445,0.75
91,381,0.86
91,946,0.98
91,811,0.94
91,530,0.29
91,616,0.22
92,92,1.0
92,519,0.11
92,743,0.24
92,916,0.53
92,212,0.88
92,847,0.98
92,683,0.56
92,612,0.35
93,93,1.0
93,408,0.85
93,652,0.22
93,176,0.95
93,356,0.69
93,860,0.32
93,657,0.66
93,142,0.89
93,280,0.25
93,594,0.57
93,457,0.79
93,387,0.03
93,882,0.69
93,356,0.23
93,971,0.89
93,457,0.1
93,823,0.15
93,540,0.12
93,873,0.62
93,134,0.35
93,250,0.96
94,94,1.0
94,932,0.17
94,506,0.37
94,830,0.94
94,110,0.37
94,978,0.04
94,468,0.01
94,770,0.13
94,274,0.8
94,102,0.46
94,326,0.38
94,189,0.48
94,596,0.21
94,227,0.37
94,801,0.93
94,212,0.73
95,95,1.0
95,623,0.09
95,110,0.17
96,96,1.0
96,482,0.31
96,529,0.99
96,951,0.65
96,426,0.52
97,97,1.0
97,579,0.55
97,316,0.12
97,280,0.87
97,758,0.1
97,179,0.14
98,98,1.0
98,410,0.91
98,853,0.06
98,279,0.49
98,476,0.65
98,804,0.93
98,274,0.35
98,262,0.46
98,485,0.68
98,768,0.31
98,611,0.68
98,727,0.9
98,295,0.91
98,652,0.92
98,708,0.33
98,724,0.77
98,708,0.73
98,383,0.5
98,661,0.7
99,99,1.0
99,576,0.94
99,468,0.63
99,123,0.81
99,463,0.3
99,569,0.1
99,200,0.16
99,788,0.28
99,201,0.34
99,752,0.67
99,980,0.49
99,385,0.95
99,673,0.23
99,484,0.7
99,120,0.43
99,411,0.91
99,185,0.85
100,100,1.0
100,918,0.8
100,545,0.79
100,477,0.24
100,500,0.6
100,138,0.77
100,953,0.67
100,931,0.95
100,308,0.87
100,646,0.24
100,996,0.34
100,350,0.98
100,573,0.97
100,615,0.72
100,151,0.97
100,491,0.52
100,651,0.36
100,753,0.11
101,101,1.0
101,315,0.6
101,550,0.11
101,236,0.71
101,675,0.06
101,802,0.34
101,128,0.78
101,938,0.51
101,803,0.44
101,929,0.95
101,676,0.68
101,953,0.6
101,736,0.35
101,572,0.02
101,494,0.43
101,858,0.73
101,581,0.7
101,251,0.68
101,310,0.15
102,102,1.0
102,540,0.06
102,384,0.73
102,277,0.94
102,211,0.78
102,896,0.86
102,662,0.44
102,410,0.05
102,189,0.39
102,853,0.13
102,383,0.7
102,141,0.49
102,593,0.31
102,907,0.86
102,937,0.1
102,125,0.72
103,103,1.0
103,262,0.14
103,883,0.36
103,1000,0.23
103,190,0.74
103,538,1.0
103,703,0.73
103,281,0.47
103,355,0.62
103,799,0.98
103,601,0.15
103,724,0.56
103,784,0.0
103,267,0.21
103,512,0.94
103,775,0.71
103,824,0.01
104,104,1.0
104,782,0.41
104,361,0.86
104,316,0.05
104,824,0.57
104,339,0.12
104,868,0.8
104,969,0.88
104,889,0.89
104,881,0.23
104,137,0.83
104,621,0.37
104,776,0.77
104,170,0.91
105,105,1.0
105,473,0.16
105,878,0.2
105,444,0.4
105,228,0.18
105,689,0.4
105,649,0.91
105,502,0.69
105,527,0.64
106,106,1.0
106,170,0.46
106,472,0.76
106,217,0.62
106,453,0.7
106,706,0.27
106,195,0.56
106,880,0.45
106,154,0.82
106,286,0.09
106,465,0.43
106,440,0.78
106,722,0.72
106,425,0.4
106,980,0.38
106,182,0.4
106,383,0.09
106,137,0.39
106,224,0.85
107,107,1.0
108,108,1.0
108,499,0.79
108,109,0.98
108,559,0.24
108,673,0.43
108,693,0.98
108,991,0.02
108,783,0.84
108,222,0.79
109,109,1.0
109,330,0.07
109,671,0.96
109,630,0.45
109,712,0.2
109,455,0.67
109,152,0.31
109,923,0.33
109,822,0.07
109,304,0.85
109,735,0.25
109,997,0.48
109,157,0.92
109,134,0.14
109,593,0.1
109,280,0.85
109,156,0.59
109,665,0.55
110,110,1.0
110,422,0.97
110,936,0.77
110,888,0.71
110,952,0.16
110,962,0.59
110,313,0.32
110,626,0.74
110,144,0.46
110,608,0.33
110,190,0.15
110,159,0.77
110,470,0.15
110,447,0.7
111,111,1.0
111,460,0.67
111,760,0.34
111,163,0.2
111,348,0.51
111,545,0.5
111,115,0.11
111,342,0.78
111,285,0.68
111,212,0.74
112,112,1.0
112,515,0.39
112,885,0.88
112,259,1.0
112,512,0.31
112,854,0.75
112,672,0.28
112,654,0.86
112,161,0.39
112,798,0.96
112,130,0.17
112,875,0.59
112,679,0.74
112,932,0.95
112,426,0.9
112,984,0.7
113,113,1.0
113,167,0.96
113,651,0.72
113,578,0.9
113,584,0.51
113,956,0.58
113,114,0.07
113,518,0.97
113,747,0.91
113,515,0.65
113,716,0.57
113,666,0.85
113,629,0.09
113,947,0.87
114,114,1.0
114,938,0.48
114,902,0.41
114,587,0.75
114,136,0.89
114,579,0.86
114,615,0.54
114,221,0.09
114,988,0.07
114,910,0.55
114,164,0.21
114,895,0.7
114,739,0.08
115,115,1.0
115,452,0.39
115,709,0.94
115,376,0.01
115,844,0.73
115,134,0.53
115,579,0.76
116,116,1.0
116,492,0.92
116,126,0.3
116,920,0.55
116,582,0.18
116,324,0.36
116,297,0.86
116,727,0.98
116,885,0.61
116,367,0.74
116,580,0.8
116,391,0.32
116,900,0.67
116,618,0.34
116,475,0.45
116,890,0.47
116,607,0.31
117,117,1.0
117,692,0.22
117,839,0.42
117,415,0.13
117,753,0.64
117,914,0.86
117,125,0.93
117,447,0.01
117,194,0.74
117,226,0.89
117,178,0.33
117,374,0.16
117,232,0.83
117,285,0.47
117,723,0.24
118,118,1.0
118,201,0.07
118,856,0.89
118,658,0.98
118,899,0.59
118,533,0.71
118,457,0.49
118,322,0.15
118,673,0.86
118,379,0.98
118,473,0.75
118,876,0.56
118,387,0.35
118,965,0.43
118,728,0.96
119,119,1.0
119,426,0.5
119,891,0.29
119,644,0.86
119,202,0.1
119,359,0.77
119,996,0.83
119,434,0.11
119,461,0.16
119,459,0.1
119,266,0.49
119,156,0.42
119,547,0.33
120,120,1.0
120,775,0.31
120,827,0.95
120,237,0.4
120,707,0.05
120,706,0.9
120,701,0.85
120,412,0.83
120,378,0.66
120,838,0.53
120,487,0.78
120,505,0.69
120,170,0.44
120,667,0.95
120,429,0.16
120,383,0.01
120,911,0.87
120,875,0.76
120,152,0.22
121,121,1.0
121,409,0.61
121,757,0.5
121,169,0.93
121,304,0.46
121,558,0.46
121,231,0.94
121,641,0.63
121,717,0.11
121,133,0.29
121,266,0.87
121,567,0.39
121,287,0.26
121,748,0.11
121,222,0.46
121,479,0.49
121,754,0.64
121,600,0.23
122,122,1.0
122,841,0.59
122,629,0.71
122,434,0.64
122,963,0.59
122,630,0.7
122,312,0.51
122,180,0.86
122,454,0.66
122,834,0.42
122,249,0.26
122,668,0.04
122,628,0.42
122,311,0.83
122,632,0.53
122,530,0.71
123,123,1.0
123,762,0.21
123,295,0.05
123,245,0.55
123,132,0.26
123,446,0.92
123,883,0.26
123,305,0.23
123,390,0.02
123,781,0.28
123,243,0.74
123,271,0.74
123,204,0.71
123,517,0.26
124,124,1.0
124,873,0.35
124,705,0.93
124,563,0.36
124,700,0.63
124,376,0.03
124,618,0.89
124,224,0.21
124,786,0.68
124,215,0.15
124,236,0.54
124,169,0.35
124,961,0.66
125,125,1.0
125,744,0.22
125,716,0.71
125,320,0.52
125,330,0.56
125,935,0.32
125,741,0.63
125,521,0.48
125,170,0.04
125,821,0.2
125,354,0.87
125,937,0.54
125,552,0.02
125,750,0.57
125,192,0.8
125,186,0.74
125,362,0.61
125,328,1.0
125,143,0.84
125,323,0.9
125,857,0.81
126,126,1.0
126,749,0.02
126,292,0.06
126,238,0.57
126,239,0.51
127,127,1.0
127,808,0.58
127,147,0.11
128,128,1.0
128,466,0.45
128,775,0.81
128,965,0.25
128,882,0.67
128,944,0.82
128,175,0.42
128,604,0.14
128,755,0.76
128,776,0.96
128,829,0.4
128,767,0.26
129,129,1.0
130,130,1.0
130,733,0.78
130,991,0.79
130,470,0.65
130,571,0.5
130,610,0.53
130,512,0.3
130,746,0.76
130,577,0.03
130,920,0.46
130,216,0.38
130,859,0.94
130,558,0.7
130,599,0.8
131,131,1.0
131,176,0.27
131,250,0.39
131,883,0.98
131,695,0.24
131,525,0.25
131,991,0.55
132,132,1.0
132,383,0.29
132,438,0.96
132,939,0.32
132,242,0.19
133,133,1.0
133,671,0.25
133,163,0.69
133,982,0.44
133,506,0.44
133,342,0.47
133,613,0.99
133,913,0.78
133,519,0.9
133,758,0.69
134,134,1.0
134,384,0.65
134,952,0.6
135,135,1.0
135,744,0.57
135,974,0.14
136,136,1.0
136,380,0.1
136,928,0.02
136,789,0.81
136,672,0.09
136,723,0.68
136,142,0.14
137,137,1.0
137,794,0.07
137,661,0.49
137,371,0.29
137,271,0.04
137,494,0.34
137,354,0.25
137,226,0.01
137,470,0.65
137,378,0.84
137,321,0.55
137,831,0.6
138,138,1.0
138,555,0.79
138,957,0.16
138,225,0.42
138,541,0.15
138,561,0.69
138,183,0.83
138,382,0.22
138,685,0.74
138,939,0.4
138,629,0.51
138,228,0.67
138,582,0.39
138,684,0.87
138,685,0.41
138,790,0.92
138,732,0.37
138,727,0.74
138,338,0.45
139,139,1.0
139,193,0.23
139,363,0.99
139,819,0.99
139,960,0.46
139,270,0.48
140,140,1.0
140,857,0.18
140,679,0.6
140,690,0.37
141,141,1.0
141,863,0.34
141,717,0.27
141,202,0.59
141,447,0.53
142,142,1.0
142,247,0.64
142,534,0.32
142,188,0.9
142,727,0.66
142,335,0.83
142,534,0.06
142,315,0.96
142,154,0.8
142,788,0.13
142,145,0.57
142,986,0.17
142,525,0.53
142,688,0.47
142,664,0.07
142,776,0.27
142,709,0.8
142,903,0.42
142,502,0.21
142,964,0.53
142,185,0.28
143,143,1.0
143,651,0.08
143,965,0.8
143,288,0.46
143,374,0.74
143,986,0.4
143,648,0.35
143,193,0.35
143,450,0.13
143,400,0.27
143,914,0.26
144,144,1.0
144,433,0.86
144,151,0.4
144,418,0.02
144,768,0.81
144,892,0.27
144,166,0.95
144,943,0.9
144,731,0.47
144,430,0.68
144,390,0.48
144,530,0.57
144,563,0.51
145,145,1.0
145,373,0.02
145,491,0.44
145,881,0.13
145,912,0.38
145,356,0.73
146,146,1.0
146,181,0.99
146,800,0.11
146,326,0.88
146,751,0.91
146,168,0.44
146,779,0.51
147,147,1.0
147,402,0.57
147,207,0.73
147,959,0.9
147,754,0.5
147,399,0.83
147,683,0.6
147,431,0.12
148,148,1.0
149,149,1.0
149,880,0.2
149,624,0.04
149,604,0.14
149,778,0.59
149,535,0.37
149,667,0.33
150,150,1.0
150,712,0.35
150,745,0.85
150,783,0.57
150,940,0.91
150,375,0.78
150,591,0.18
150,500,0.84
150,387,0.51
150,203,0.61
150,798,0.86
151,151,1.0
151,326,0.22
151,662,0.75
151,946,0.46
151,420,0.97
151,890,0.11
151,702,0.62
151,998,0.79
151,619,0.47
151,403,0.17
151,604,0.53
151,917,0.26
151,764,0.19
151,273,0.82
151,161,0.78
151,297,0.35
152,152,1.0
152,856,0.01
152,571,0.1
152,841,0.94
152,638,0.58
152,982,0.14
152,394,0.38
152,362,0.5
152,529,0.79
152,311,0.2
152,186,0.44
152,957,0.66
153,153,1.0
153,588,0.18
153,682,0.16
153,767,0.9
153,214,0.46
153,936,0.2
153,806,0.42
153,444,0.74
153,809,0.35
153,866,0.02
153,239,0.63
153,258,0.15
153,947,0.54
153,655,0.36
153,805,0.93
153,459,0.05
153,384,0.45
153,342,0.09
153,636,0.5
153,673,0.37
154,154,1.0
154,559,0.99
154,284,0.51
154,650,0.22
154,556,0.83
154,804,0.95
154,385,0.91
154,343,0.2
154,179,0.8
154,391,0.17
154,476,0.92
155,155,1.0
155,680,0.96
155,463,0.53
155,611,0.48
155,945,0.98
155,959,0.14
156,156,1.0
156,874,0.05
157,157,1.0
157,453,0.28
157,892,0.48
157,696,0.16
157,360,0.48
157,291,0.68
157,328,0.38
157,247,0.81
157,237,0.03
157,244,0.36
158,158,1.0
158,989,0.63
159,159,1.0
159,773,0.07
159,481,0.14
159,516,0.11
159,319,0.11
159,338,0.62
159,716,0.71
159,203,0.24
159,614,0.82
159,723,0.95
159,407,0.81
159,783,0.42
159,474,0.21
160,160,1.0
160,785,0.05
160,877,0.98
160,713,0.87
160,770,0.14
160,786,0.74
160,250,0.48
160,624,0.55
160,489,0.18
160,684,0.26
160,910,0.68
160,674,0.51
160,268,0.23
160,399,0.82
160,686,0.48
160,604,0.34
160,429,0.8
160,980,0.5
160,989,0.53
160,191,0.65
161,161,1.0
161,542,0.43
161,563,0.35
161,585,0.64
161,879,0.31
