userid,serviceid,lam1000,lam3000,lam5000,effencicy
28,28-3,0.32,0.97,1.58,1.67
28,28-2,0.39,0.98,1.59,1.66
28,28-1,0.39,0.85,1.78,1.96
29,29-2,0.37,1.13,1.61,1.73
29,29-1,0.47,0.99,1.53,1.65
30,30-1,0.4,0.93,1.74,1.87
31,31-4,0.29,0.98,1.8,1.84
31,31-3,0.24,1.03,1.67,1.75
31,31-2,0.32,1.01,1.57,1.96
31,31-1,0.36,0.98,1.58,1.68
32,32-3,0.43,0.96,1.57,1.57
32,32-2,0.28,0.76,1.49,1.76
32,32-1,0.32,1.28,1.43,1.74
33,33-1,0.35,0.99,1.71,1.85
34,34-2,0.37,0.86,1.96,1.98
34,34-1,0.34,1.13,1.79,1.93
35,35-5,0.34,0.99,1.71,1.85
35,35-4,0.29,1.11,1.82,1.97
35,35-3,0.41,1.02,1.6,1.63
35,35-2,0.39,1.05,1.62,1.8
35,35-1,0.3,1.03,1.77,1.92
36,36-4,0.34,1.03,1.63,1.74
36,36-3,0.31,1.0,1.7,1.76
36,36-2,0.28,1.02,1.59,1.86
36,36-1,0.41,1.01,1.51,1.6
37,37-3,0.32,1.01,1.54,1.9
37,37-2,0.31,1.02,1.66,1.78
37,37-1,0.39,1.02,1.65,1.7
38,38-4,0.28,1.02,1.75,1.76
38,38-3,0.33,0.96,1.66,1.92
38,38-2,0.36,0.99,1.67,1.75
38,38-1,0.29,0.9,1.65,1.8
39,39-3,0.42,0.97,1.67,1.77
39,39-2,0.36,1.0,1.73,1.78
39,39-1,0.25,0.88,1.7,1.84
40,40-1,0.37,1.04,1.79,1.98
41,41-3,0.34,1.14,1.67,1.69
41,41-2,0.2,0.93,1.87,1.98
41,41-1,0.3,1.15,1.77,1.87
42,42-2,0.49,1.0,1.66,1.76
42,42-1,0.45,1.07,1.46,1.52
43,43-3,0.48,1.14,1.65,1.7
43,43-2,0.34,1.04,1.44,1.66
43,43-1,0.29,1.19,1.52,1.9
44,44-2,0.37,1.02,1.65,1.93
44,44-1,0.35,1.05,1.87,1.92
45,45-3,0.28,1.1,1.69,1.81
45,45-2,0.27,1.01,1.77,1.9
45,45-1,0.37,1.09,1.71,1.97
46,46-4,0.35,1.18,1.87,1.98
46,46-3,0.35,1.21,1.59,1.67
46,46-2,0.37,0.9,1.62,1.71
46,46-1,0.45,0.82,1.59,1.62
47,47-1,0.29,1.03,1.9,1.9
48,48-4,0.35,1.01,1.65,1.77
48,48-3,0.44,0.84,1.48,1.56
48,48-2,0.37,1.15,1.62,1.71
48,48-1,0.32,0.98,1.74,1.86
49,49-5,0.3,0.78,1.46,1.52
49,49-4,0.35,0.85,1.84,1.86
49,49-3,0.36,1.07,1.72,1.77
49,49-2,0.33,1.07,1.57,1.66
49,49-1,0.34,0.98,1.6,1.7
50,50-3,0.34,1.13,1.66,1.72
50,50-2,0.21,0.76,1.82,1.84
50,50-1,0.28,1.06,1.44,1.46
51,51-3,0.34,0.88,1.51,1.66
51,51-2,0.36,1.19,1.65,1.67
51,51-1,0.43,1.05,1.65,1.89
52,52-1,0.25,1.07,1.7,1.72
53,53-1,0.27,1.01,1.65,1.87
54,54-3,0.32,0.98,1.87,1.87
54,54-2,0.41,1.03,1.61,1.98
54,54-1,0.36,1.13,1.63,1.92
55,55-5,0.37,0.89,1.67,1.72
55,55-4,0.29,1.1,1.72,1.87
55,55-3,0.28,0.87,1.68,1.79
55,55-2,0.35,0.89,1.66,1.78
55,55-1,0.43,0.83,1.55,1.63
56,56-3,0.35,1.09,1.78,1.93
56,56-2,0.38,1.1,1.81,1.9
56,56-1,0.25,1.12,0.02,1.8
57,57-2,0.41,1.18,1.63,1.76
57,57-1,0.36,1.02,1.46,1.87
58,58-4,0.38,0.94,1.75,1.75
58,58-3,0.34,1.1,1.49,1.7
58,58-2,0.31,0.96,1.78,1.89
58,58-1,0.46,0.92,1.75,1.81
59,59-1,0.29,0.98,1.9,1.95
60,60-3,0.26,1.05,1.65,1.69
60,60-2,0.4,1.1,1.73,1.78
60,60-1,0.28,0.95,1.77,1.84
61,61-1,0.44,0.92,1.76,1.85
62,62-2,0.29,0.81,1.59,1.88
62,62-1,0.23,1.17,1.71,1.92
63,63-1,0.3,1.08,1.6,1.61
64,64-2,0.35,0.87,1.56,1.56
64,64-1,0.38,0.89,1.68,1.74
65,65-3,0.35,0.97,1.66,1.67
65,65-2,0.31,1.0,1.77,1.78
65,65-1,0.32,0.98,1.84,1.89
66,66-2,0.46,0.9,1.67,1.77
66,66-1,0.32,1.06,1.98,2.0
67,67-2,0.4,0.98,1.78,1.78
67,67-1,0.38,1.11,1.71,1.82
68,68-1,0.36,1.0,1.62,1.67
69,69-2,0.3,0.91,1.51,1.55
69,69-1,0.38,0.94,1.88,1.89
70,70-1,0.29,0.93,1.68,1.73
71,71-3,0.25,1.07,1.66,1.75
71,71-2,0.48,1.15,1.78,1.79
71,71-1,0.32,1.05,1.48,1.49
72,72-2,0.35,1.09,1.7,1.81
72,72-1,0.33,1.01,1.67,1.83
73,73-4,0.3,1.1,1.63,1.95
73,73-3,0.37,0.82,1.59,1.75
73,73-2,0.33,0.88,1.81,1.89
73,73-1,0.4,0.96,1.62,1.67
74,74-1,0.38,0.9,1.72,1.83
75,75-1,0.29,0.92,1.4,1.44
76,76-3,0.36,1.12,1.59,1.95
76,76-2,0.41,0.91,1.64,1.67
76,76-1,0.35,1.05,1.84,1.94
77,77-5,0.39,0.81,1.71,1.84
77,77-4,0.37,0.96,1.75,1.87
77,77-3,0.33,1.05,1.61,1.73
77,77-2,0.37,0.91,1.72,1.84
77,77-1,0.4,0.9,1.38,1.87
78,78-2,0.33,1.12,1.67,1.75
78,78-1,0.32,1.03,1.75,1.87
79,79-1,0.29,1.02,1.6,1.69
80,80-4,0.41,0.79,1.93,1.94
80,80-3,0.33,1.15,1.79,1.91
80,80-2,0.34,1.16,1.45,1.52
80,80-1,0.32,0.87,1.8,1.94
81,81-1,0.31,1.06,1.81,1.84
82,82-4,0.35,0.99,1.64,1.95
82,82-3,0.27,1.03,1.62,1.7
82,82-2,0.4,0.95,1.43,1.51
82,82-1,0.23,1.16,1.49,1.88
83,83-2,0.31,0.8,1.8,1.94
83,83-1,0.28,0.96,1.62,1.92
84,84-4,0.34,1.08,1.55,1.91
84,84-3,0.33,0.86,1.44,1.77
84,84-2,0.38,1.03,1.55,1.62
84,84-1,0.37,1.18,1.67,1.82
85,85-3,0.42,0.99,1.75,1.9
85,85-2,0.34,0.91,1.67,1.77
85,85-1,0.3,0.85,1.57,1.64
86,86-2,0.4,1.11,1.66,1.66
86,86-1,0.32,1.05,1.82,1.88
87,87-2,0.45,1.02,1.77,1.9
87,87-1,0.4,1.01,1.82,1.91
88,88-3,0.37,0.79,1.77,1.81
88,88-2,0.4,0.99,1.69,1.84
88,88-1,0.36,0.83,1.53,1.95
89,89-5,0.35,1.02,1.76,1.79
89,89-4,0.29,1.05,1.71,1.85
89,89-3,0.24,0.95,1.71,1.83
89,89-2,0.39,1.11,1.65,1.73
89,89-1,0.32,0.96,1.67,1.8
90,90-4,0.33,0.85,1.61,1.65
90,90-3,0.35,1.18,1.61,1.73
90,90-2,0.4,1.26,1.65,1.75
90,90-1,0.27,1.24,1.65,1.71
91,91-4,0.31,0.99,1.56,1.74
91,91-3,0.3,1.01,1.67,1.68
91,91-2,0.27,0.99,1.66,1.74
91,91-1,0.25,0.82,1.55,1.56
92,92-1,0.39,1.19,1.67,1.77
93,93-4,0.36,0.91,1.82,1.84
93,93-3,0.27,1.1,1.84,1.88
93,93-2,0.39,0.87,1.7,1.81
93,93-1,0.39,0.94,1.66,1.76
94,94-2,0.41,1.11,1.82,1.84
94,94-1,0.27,1.06,1.74,1.76
95,95-3,0.41,1.14,0.02,1.57
95,95-2,0.34,1.12,1.63,1.77
95,95-1,0.39,0.96,1.76,1.82
96,96-4,0.38,0.92,1.53,1.82
96,96-3,0.22,1.02,1.43,1.94
96,96-2,0.28,1.09,1.65,1.79
96,96-1,0.28,0.92,1.51,1.53
97,97-3,0.37,1.3,1.85,1.85
97,97-2,0.27,1.08,1.47,1.73
97,97-1,0.35,1.05,1.66,1.93
98,98-5,0.42,0.99,1.58,1.62
98,98-4,0.42,0.93,1.63,1.7
98,98-3,0.19,0.98,1.48,1.74
98,98-2,0.33,0.96,1.62,1.71
98,98-1,0.44,1.08,1.55,1.58
99,99-1,0.36,0.99,1.73,1.86
100,100-2,0.36,0.87,1.46,1.47
100,100-1,0.23,0.85,1.67,1.77
101,101-1,0.34,1.03,1.69,1.76
102,102-5,0.46,1.08,1.66,1.75
102,102-4,0.24,0.95,1.74,1.89
102,102-3,0.31,1.15,1.47,1.7
102,102-2,0.35,0.81,1.82,1.82
102,102-1,0.32,0.87,1.68,1.75
103,103-3,0.4,0.9,1.65,1.68
103,103-2,0.36,1.05,1.68,1.97
103,103-1,0.36,0.93,1.59,1.63
104,104-5,0.48,1.0,1.57,1.75
104,104-4,0.39,1.11,1.72,1.77
104,104-3,0.32,1.0,1.62,1.65
104,104-2,0.34,1.11,1.59,1.7
104,104-1,0.34,0.98,1.77,1.88
105,105-4,0.39,1.1,1.77,1.92
105,105-3,0.27,1.02,1.91,2.0
105,105-2,0.32,0.96,1.47,1.75
105,105-1,0.33,1.02,1.8,1.82
106,106-3,0.32,1.1,1.72,1.79
106,106-2,0.37,0.92,1.75,1.8
106,106-1,0.23,1.1,1.73,1.8
107,107-2,0.26,0.99,1.65,1.76
107,107-1,0.28,1.22,1.66,1.78
108,108-5,0.23,1.16,1.37,1.49
108,108-4,0.35,1.15,1.72,1.94
108,108-3,0.34,0.97,1.67,1.82
108,108-2,0.36,1.14,1.63,1.66
108,108-1,0.38,0.86,1.6,1.76
109,109-1,0.29,1.07,1.64,1.95
110,110-4,0.38,1.14,1.52,1.85
110,110-3,0.25,0.95,1.68,1.69
110,110-2,0.26,1.02,1.61,1.75
110,110-1,0.26,0.94,1.62,1.72
111,111-5,0.4,1.09,1.5,1.75
111,111-4,0.34,0.98,1.54,1.54
111,111-3,0.48,1.1,1.81,1.96
111,111-2,0.42,1.26,1.56,1.57
111,111-1,0.34,1.14,1.76,1.99
112,112-5,0.28,0.93,1.83,1.99
112,112-4,0.35,1.0,1.67,1.76
112,112-3,0.43,0.89,1.58,1.69
112,112-2,0.34,0.99,1.6,1.67
112,112-1,0.32,1.16,1.59,1.69
113,113-4,0.32,1.11,1.75,1.79
113,113-3,0.32,1.17,1.72,1.86
113,113-2,0.36,0.96,1.79,1.87
113,113-1,0.36,0.95,1.79,1.83
114,114-2,0.32,1.04,1.95,2.0
114,114-1,0.36,1.16,1.68,1.76
115,115-3,0.26,1.23,1.86,1.9
115,115-2,0.41,0.96,1.97,2.0
115,115-1,0.38,1.03,1.83,1.96
116,116-2,0.33,1.13,1.57,1.71
116,116-1,0.39,1.13,1.39,1.46
117,117-1,0.41,0.83,1.53,1.56
118,118-3,0.4,0.97,1.69,1.88
118,118-2,0.38,1.15,1.7,1.73
118,118-1,0.37,0.88,1.7,1.73
119,119-5,0.38,1.12,1.67,1.77
119,119-4,0.37,1.05,1.63,1.68
119,119-3,0.33,1.04,1.61,1.62
119,119-2,0.5,0.96,1.61,1.76
119,119-1,0.39,0.94,1.67,1.78
120,120-5,0.36,0.9,1.77,1.91
120,120-4,0.38,1.06,1.71,1.77
120,120-3,0.38,0.94,1.65,1.72
120,120-2,0.4,0.92,1.99,2.0
120,120-1,0.4,0.99,1.84,1.86
121,121-4,0.24,0.82,1.86,1.93
121,121-3,0.4,0.88,1.56,1.63
121,121-2,0.28,0.91,1.73,1.77
121,121-1,0.4,0.92,1.8,1.89
122,122-2,0.3,1.06,1.91,1.92
122,122-1,0.3,1.07,1.72,1.85
123,123-5,0.3,0.95,1.89,1.92
123,123-4,0.44,0.94,1.54,1.59
123,123-3,0.32,1.01,1.81,1.82
123,123-2,0.35,0.93,1.79,1.84
123,123-1,0.26,1.18,1.81,1.85
124,124-4,0.37,0.95,1.55,1.61
124,124-3,0.4,0.95,1.5,1.87
124,124-2,0.33,0.95,1.56,1.69
124,124-1,0.42,0.92,1.51,1.61
125,125-5,0.3,0.89,1.7,1.78
125,125-4,0.47,0.94,1.67,1.99
125,125-3,0.28,0.9,1.45,1.59
125,125-2,0.27,0.93,1.66,1.78
125,125-1,0.37,1.02,1.58,1.72
126,126-3,0.32,0.9,1.69,1.78
126,126-2,0.36,1.05,1.87,2.0
126,126-1,0.41,0.77,1.81,1.91
127,127-2,0.27,1.03,1.55,1.86
127,127-1,0.29,1.0,1.83,1.84
128,128-3,0.36,1.01,1.52,1.96
128,128-2,0.35,1.3,1.58,1.66
128,128-1,0.26,0.91,1.61,1.85
129,129-5,0.29,0.97,1.57,1.97
129,129-4,0.4,1.04,1.65,1.69
129,129-3,0.42,1.02,1.72,1.92
129,129-2,0.35,1.09,1.59,1.73
129,129-1,0.24,0.95,1.61,1.78
130,130-4,0.34,0.91,1.84,1.94
130,130-3,0.28,0.9,1.67,1.7
130,130-2,0.29,1.0,1.79,1.9
130,130-1,0.38,1.14,1.64,1.77
131,131-2,0.28,0.9,1.78,1.86
131,131-1,0.42,0.99,1.81,1.93
132,132-1,0.36,1.04,1.82,1.95
133,133-5,0.45,1.01,1.65,1.69
133,133-4,0.41,1.09,1.67,1.78
133,133-3,0.29,0.9,1.83,1.86
133,133-2,0.38,0.86,1.92,2.0
133,133-1,0.3,0.97,1.62,1.77
134,134-3,0.39,1.11,1.51,1.55
134,134-2,0.33,0.94,1.67,1.71
134,134-1,0.37,0.99,1.79,1.8
135,135-5,0.37,1.32,1.81,1.89
135,135-4,0.32,1.01,1.82,1.96
135,135-3,0.37,1.12,1.83,1.95
135,135-2,0.37,1.08,1.6,1.72
135,135-1,0.47,1.0,1.88,2.0
136,136-2,0.29,1.03,1.56,1.56
136,136-1,0.39,0.95,1.68,1.76
137,137-1,0.33,1.05,1.4,1.87
138,138-1,0.31,1.04,1.73,1.77
139,139-1,0.22,0.92,1.74,1.98
140,140-3,0.25,1.04,1.77,1.91
140,140-2,0.39,0.92,1.75,1.83
140,140-1,0.38,1.01,1.62,1.78
141,141-2,0.34,1.08,1.75,1.8
141,141-1,0.35,0.92,1.88,1.95
142,142-5,0.39,1.03,1.59,1.79
142,142-4,0.37,1.14,1.86,1.88
142,142-3,0.35,1.0,1.59,1.62
142,142-2,0.33,0.96,1.58,1.8
142,142-1,0.37,1.18,1.62,1.71
143,143-2,0.26,0.97,1.58,1.89
143,143-1,0.38,0.91,1.84,1.89
144,144-5,0.29,1.04,1.5,1.63
144,144-4,0.45,1.02,1.61,1.66
144,144-3,0.36,1.11,1.44,1.82
144,144-2,0.27,0.94,1.75,1.83
144,144-1,0.4,0.79,1.63,1.71
145,145-1,0.29,0.93,1.84,1.96
146,146-5,0.33,0.82,1.77,1.8
146,146-4,0.33,0.9,1.71,1.73
146,146-3,0.29,1.04,1.82,1.88
146,146-2,0.35,1.09,1.64,1.69
146,146-1,0.33,1.18,1.6,1.65
147,147-2,0.35,0.96,1.77,1.77
147,147-1,0.38,1.04,1.55,1.67
148,148-2,0.3,1.16,1.64,1.97
148,148-1,0.23,1.1,1.67,1.79
149,149-3,0.4,0.95,1.71,1.89
149,149-2,0.3,1.04,1.96,2.0
149,149-1,0.37,0.84,1.78,1.85
150,150-2,0.39,0.92,1.59,1.62
150,150-1,0.27,1.25,1.72,1.85
151,151-1,0.29,1.13,1.86,1.98
152,152-5,0.3,0.8,1.46,1.5
152,152-4,0.38,1.05,1.69,1.81
152,152-3,0.27,0.84,1.58,1.7
152,152-2,0.35,1.11,1.82,1.82
152,152-1,0.27,1.11,1.43,1.45
153,153-1,0.29,1.01,1.77,1.87
154,154-1,0.41,0.95,1.48,1.74
155,155-2,0.35,1.07,1.49,1.6
155,155-1,0.29,0.84,1.48,1.62
156,156-5,0.3,1.06,1.73,1.75
156,156-4,0.41,1.1,1.58,1.7
156,156-3,0.37,1.03,1.86,1.97
156,156-2,0.32,1.08,1.75,1.83
156,156-1,0.4,1.14,1.76,1.9
157,157-3,0.39,1.19,1.87,2.0
157,157-2,0.35,1.0,1.74,1.75
157,157-1,0.32,0.97,1.55,1.58
158,158-5,0.3,1.04,1.63,1.71
158,158-4,0.33,1.05,1.93,2.0
158,158-3,0.35,0.94,1.71,1.77
158,158-2,0.22,0.92,1.52,1.67
158,158-1,0.37,1.03,1.8,1.89
159,159-4,0.26,1.1,1.48,1.99
159,159-3,0.33,1.03,1.63,1.64
159,159-2,0.34,0.98,1.52,1.68
159,159-1,0.4,1.21,1.84,1.84
160,160-1,0.4,1.02,1.75,1.78
161,161-2,0.33,1.15,1.54,1.66
161,161-1,0.36,1.14,1.62,1.69
162,162-1,0.41,0.9,1.75,1.8
163,163-2,0.3,0.95,1.74,1.8
163,163-1,0.31,0.96,1.7,1.75
164,164-2,0.31,1.05,1.8,1.84
164,164-1,0.27,1.03,1.67,1.8
165,165-2,0.38,1.08,1.74,1.87
165,165-1,0.32,1.2,1.69,1.79
166,166-4,0.3,1.0,1.51,1.57
166,166-3,0.31,1.02,1.43,1.46
166,166-2,0.33,1.07,1.75,1.83
166,166-1,0.39,0.9,1.72,1.78
167,167-2,0.43,0.9,1.81,1.99
167,167-1,0.42,1.04,1.56,1.87
168,168-5,0.34,1.03,1.55,1.97
168,168-4,0.34,0.88,1.54,1.64
168,168-3,0.35,1.17,1.78,1.79
168,168-2,0.29,0.97,1.69,1.85
168,168-1,0.39,1.04,1.68,1.83
169,169-2,0.31,0.94,1.66,1.73
169,169-1,0.34,1.0,1.57,1.66
170,170-4,0.33,1.01,1.77,1.87
170,170-3,0.41,1.02,1.76,1.9
170,170-2,0.33,0.84,1.36,1.48
170,170-1,0.33,1.02,1.69,1.76
171,171-1,0.33,0.99,1.71,1.85
172,172-1,0.27,1.06,1.54,1.62
173,173-1,0.32,0.98,1.89,2.0
174,174-5,0.37,0.89,1.81,1.82
174,174-4,0.36,0.96,1.83,1.84
174,174-3,0.44,0.97,1.81,1.87
174,174-2,0.35,1.18,1.65,1.83
174,174-1,0.37,0.93,1.7,1.76
175,175-2,0.36,0.93,1.68,1.82
175,175-1,0.33,1.03,1.46,1.72
176,176-3,0.36,1.05,1.61,1.67
176,176-2,0.34,1.05,1.64,1.73
176,176-1,0.35,1.02,1.53,1.63
177,177-5,0.38,0.93,1.77,1.86
177,177-4,0.42,0.97,1.49,1.61
177,177-3,0.34,0.96,1.35,1.42
177,177-2,0.28,0.99,1.5,1.64
177,177-1,0.33,1.14,1.92,2.0
178,178-2,0.4,1.01,1.49,1.59
178,178-1,0.37,1.06,1.48,1.59
179,179-1,0.39,1.05,1.68,1.93
180,180-2,0.32,1.1,1.44,1.71
180,180-1,0.27,1.0,1.7,1.73
181,181-2,0.3,0.89,1.74,1.87
181,181-1,0.34,0.94,1.53,1.64
182,182-5,0.42,0.89,1.89,1.98
182,182-4,0.41,0.91,1.91,2.0
182,182-3,0.31,1.07,1.69,1.7
182,182-2,0.35,1.03,1.66,1.79
182,182-1,0.44,0.99,1.52,1.74
183,183-3,0.33,1.1,1.69,1.73
183,183-2,0.37,0.98,1.51,1.81
183,183-1,0.34,1.19,1.6,1.67
184,184-4,0.38,0.92,1.48,1.54
184,184-3,0.37,0.78,1.71,1.89
184,184-2,0.33,1.25,1.64,1.79
184,184-1,0.28,0.82,1.35,1.98
185,185-4,0.26,1.0,1.99,2.0
185,185-3,0.39,1.09,1.69,1.97
185,185-2,0.43,1.2,1.66,1.75
185,185-1,0.25,1.06,1.81,1.94
186,186-1,0.28,1.2,1.64,1.85
187,187-2,0.4,0.95,1.85,1.89
187,187-1,0.52,1.01,1.65,1.72
188,188-1,0.35,1.04,1.85,1.97
189,189-2,0.4,0.99,1.55,1.66
189,189-1,0.5,0.85,1.73,1.77
190,190-3,0.27,1.08,1.87,1.99
190,190-2,0.38,1.15,1.62,1.77
190,190-1,0.4,1.01,1.7,1.79
191,191-4,0.27,0.93,1.44,1.63
191,191-3,0.36,1.15,1.36,1.76
191,191-2,0.39,0.97,1.84,1.95
191,191-1,0.28,0.79,1.61,1.75
192,192-4,0.36,0.94,1.74,1.78
192,192-3,0.3,1.03,1.73,1.74
192,192-2,0.3,1.04,1.62,1.67
192,192-1,0.3,1.02,1.49,1.7
193,193-5,0.31,1.16,1.71,1.8
193,193-4,0.38,1.07,1.52,1.72
193,193-3,0.31,0.99,1.54,1.58
193,193-2,0.29,0.96,1.71,1.86
193,193-1,0.36,1.08,1.68,1.71
194,194-5,0.3,0.95,1.67,1.81
194,194-4,0.38,1.01,1.42,1.56
194,194-3,0.27,1.02,1.76,1.81
194,194-2,0.28,0.85,1.56,1.67
194,194-1,0.38,1.01,1.75,1.88
195,195-1,0.29,0.92,1.61,1.68
196,196-1,0.34,1.17,1.39,1.83
197,197-1,0.31,1.21,1.79,1.86
198,198-4,0.31,1.2,1.59,1.87
198,198-3,0.23,0.97,1.77,1.87
198,198-2,0.27,0.8,1.7,1.75
198,198-1,0.3,1.17,1.74,1.76
199,199-2,0.35,1.13,1.77,1.87
199,199-1,0.23,1.04,1.8,1.87
200,200-4,0.38,0.83,1.51,1.54
200,200-3,0.32,0.88,1.46,1.77
200,200-2,0.28,1.09,1.63,1.64
200,200-1,0.38,0.81,1.63,1.65
201,201-4,0.31,1.1,1.56,1.63
201,201-3,0.3,1.09,1.65,1.68
201,201-2,0.41,1.07,1.61,1.81
201,201-1,0.27,0.92,1.73,1.74
202,202-2,0.31,1.07,1.76,1.89
202,202-1,0.35,0.98,1.86,1.87
203,203-5,0.38,0.98,1.84,1.85
203,203-4,0.32,1.12,1.88,2.0
203,203-3,0.42,0.86,1.8,1.85
203,203-2,0.33,1.11,1.57,1.68
203,203-1,0.37,1.06,1.72,1.84
204,204-4,0.42,0.93,1.63,1.65
204,204-3,0.32,1.1,1.61,1.69
204,204-2,0.34,1.09,1.43,1.53
204,204-1,0.31,0.9,1.75,1.87
205,205-2,0.32,0.85,1.72,1.74
205,205-1,0.18,0.92,1.82,1.92
206,206-5,0.36,1.05,1.64,1.74
206,206-4,0.38,0.93,1.63,1.73
206,206-3,0.33,1.11,1.43,1.55
206,206-2,0.37,1.15,1.68,1.81
206,206-1,0.23,1.06,1.69,1.72
207,207-2,0.27,1.06,1.93,1.98
207,207-1,0.16,0.91,1.62,1.71
208,208-3,0.35,1.02,1.56,1.93
208,208-2,0.34,0.89,1.72,1.81
208,208-1,0.3,1.03,1.76,1.79
209,209-3,0.35,1.07,1.69,1.76
209,209-2,0.32,0.76,1.46,1.55
209,209-1,0.26,1.0,1.46,1.75
210,210-4,0.26,1.08,1.62,1.74
210,210-3,0.29,1.17,1.71,1.74
210,210-2,0.41,0.9,1.74,1.8
210,210-1,0.29,1.19,1.6,1.72
211,211-2,0.29,0.87,1.67,1.78
211,211-1,0.36,0.98,1.74,1.75
212,212-4,0.43,1.01,1.7,1.84
212,212-3,0.41,1.03,1.53,1.7
212,212-2,0.35,1.1,1.49,1.62
212,212-1,0.26,1.19,1.57,1.69
213,213-1,0.34,0.9,1.51,1.61
214,214-1,0.33,1.03,1.5,1.62
215,215-1,0.41,0.93,1.65,1.74
216,216-2,0.34,1.27,1.78,1.93
216,216-1,0.3,1.03,1.69,1.82
217,217-2,0.25,0.99,1.71,1.82
217,217-1,0.27,0.82,1.55,1.56
218,218-2,0.28,1.09,1.53,1.65
218,218-1,0.36,0.95,1.74,1.87
219,219-3,0.4,0.97,1.68,1.79
219,219-2,0.27,1.07,1.78,1.86
219,219-1,0.35,0.92,1.8,1.85
220,220-3,0.34,0.96,1.7,1.8
220,220-2,0.28,1.01,1.73,1.9
220,220-1,0.22,1.19,1.59,1.73
221,221-1,0.36,0.86,1.71,1.83
222,222-1,0.34,1.0,1.7,1.93
223,223-5,0.32,0.93,1.51,1.56
223,223-4,0.32,1.17,1.66,1.74
223,223-3,0.38,0.94,1.5,1.54
223,223-2,0.23,0.98,1.62,1.73
223,223-1,0.45,1.08,1.62,1.85
224,224-1,0.41,1.0,1.56,1.69
225,225-2,0.47,0.98,1.49,1.62
225,225-1,0.3,0.87,1.72,1.74
226,226-5,0.28,1.2,1.8,1.82
226,226-4,0.4,0.99,1.59,1.7
